Player,FPTS
Christian McCaffrey,398
Josh Allen,379.9
Patrick Mahomes II,378.1
Kyler Murray,357.6
Lamar Jackson,349.5
Davante Adams,343.7
Dak Prescott,341.3
Aaron Rodgers,334.7
Dalvin Cook,334.5
Justin Herbert,332.8
Russell Wilson,332.8
Tyreek Hill,329.5
Tom Brady,323.5
Alvin Kamara,318.8
Stefon Diggs,316.1
DeAndre Hopkins,312.4
Travis Kelce,312.2
Ryan Tannehill,305
Jalen Hurts,303.7
Calvin Ridley,296.5
Derrick Henry,294.6
Joe Burrow,287.2
Austin Ekeler,286.6
Matthew Stafford,284.9
Saquon Barkley,284.7
Keenan Allen,279.8
Ezekiel Elliott,278.6
Justin Jefferson,278.6
Aaron Jones,277.9
Trevor Lawrence,276.6
Kirk Cousins,275
D.K. Metcalf,273.8
Matt Ryan,273.2
A.J. Brown,268.7
Jonathan Taylor,268.6
Tua Tagovailoa,267.9
Derek Carr,267.8
Baker Mayfield,267.7
Joe Mixon,265.3
Allen Robinson II,261.8
Najee Harris,261.7
Ben Roethlisberger,258.9
Ryan Fitzpatrick,258.2
Robert Woods,257.3
Nick Chubb,256.7
Darren Waller,255.9
George Kittle,255
Terry McLaurin,254.4
Daniel Jones,252.8
Amari Cooper,252.8
Sam Darnold,250.2
Antonio Gibson,250.1
Zach Wilson,248.1
Tyler Lockett,246.4
D'Andre Swift,245.2
Cooper Kupp,244.1
Clyde Edwards-Helaire,242.9
Mike Evans,242.6
CeeDee Lamb,240.6
Adam Thielen,238.4
Jared Goff,237.9
D.J. Moore,236.5
Chris Carson,236.3
Julio Jones,232.4
Chris Godwin,232.2
Diontae Johnson,230.3
David Montgomery,229.8
Miles Sanders,226.7
Justin Fields,225.7
J.K. Dobbins,223.7
Tee Higgins,223.2
Myles Gaskin,219.7
Courtland Sutton,219.4
Josh Jacobs,219.1
JuJu Smith-Schuster,218.1
Odell Beckham Jr.,215.1
Kenny Golladay,215.1
Ja'Marr Chase,214.7
D.J. Chark Jr.,213.9
Mike Davis,213.2
Darrell Henderson,212.9
Trey Lance,212.5
Brandon Aiyuk,212.3
Brandin Cooks,211.2
Robby Anderson,210.9
Chase Edmonds,207.5
Travis Etienne,207.1
Tyler Boyd,207
Chase Claypool,206.5
Mark Andrews,201.6
Deebo Samuel,201.2
Deshaun Watson,198.8
Jerry Jeudy,196.6
Jarvis Landry,193.9
Michael Thomas,193.5
Michael Gallup,192.5
Laviska Shenault Jr.,189.3
T.J. Hockenson,188.7
Cam Newton,188.1
Kyle Pitts,188.1
Carson Wentz,187.5
DeVante Parker,185.9
Curtis Samuel,185.3
Marquise Brown,184.9
Kareem Hunt,184.6
Will Fuller V,181.9
DeVonta Smith,179.5
Corey Davis,177.8
